system:index,ALBEDO,EVI,LST,MNDWI,NDBI,NDVI,.geo
0,0.204325,0.15601963471111652,27.09225797000005,-0.28240274138278576,0.04073286438737114,0.1811864236076141,"{""type"":""Point"",""coordinates"":[77.746011353445,12.95570168063996]}"
1,0.2264,0.1182690314190399,30.720486199999982,-0.19252118025124154,0.02468412685130949,0.1206614748581867,"{""type"":""Point"",""coordinates"":[77.77657506925848,12.812417083974328]}"
2,0.1686,0.24263943047257897,32.364553820000026,-0.32003580104845925,-0.051102941176470566,0.31101685200045853,"{""type"":""Point"",""coordinates"":[77.59633383597219,12.881174380241065]}"
3,0.1662625,0.16885281542140737,31.935592310000004,-0.4722374931280924,0.07119999999999997,0.25107758620689663,"{""type"":""Point"",""coordinates"":[77.7756942978533,12.83842300607124]}"
4,0.163,0.1611952339580489,30.928985420000004,-0.5135666535587887,0.17249257482293812,0.2364588074647246,"{""type"":""Point"",""coordinates"":[77.61328081382224,13.166663731836335]}"
5,0.1807375,0.09908536585365854,32.074022119999995,-0.4915843395536042,0.1825368046993981,0.14832925835370822,"{""type"":""Point"",""coordinates"":[77.74121516739216,13.196813695227917]}"
6,0.1286875,0.2844809284551695,31.11014048000004,-0.4192301497825736,-0.08683937823834195,0.44224422442244227,"{""type"":""Point"",""coordinates"":[77.61096124892624,13.069036997852265]}"
7,0.0322625,-0.03995964208905292,25.301215490000004,0.5832591273374889,-0.1832460732984293,-0.3074565883554648,"{""type"":""Point"",""coordinates"":[77.49181684687244,13.154907444193286]}"
8,0.12601250000000003,0.27452402538531273,28.10399189000003,-0.49650959860383936,0.009417304296645028,0.4282885431400283,"{""type"":""Point"",""coordinates"":[77.48974206724303,13.10280880822398]}"
9,0.1343,0.45345815622364866,29.971939820000046,-0.5101711333548596,-0.1843390303453087,0.6340230991337825,"{""type"":""Point"",""coordinates"":[77.59455308718188,13.054287038192696]}"
10,0.25560000000000005,0.10858967484034517,27.731427710000048,-0.38079096045197747,0.09211153479504287,0.13243162901307967,"{""type"":""Point"",""coordinates"":[77.73811473878462,12.961591552562535]}"
11,0.152075,0.16881638846737484,30.94094849000001,-0.4413942362455861,0.12489999111032093,0.24828810550342384,"{""type"":""Point"",""coordinates"":[77.68797409820598,13.080023526841824]}"
12,0.150725,0.27143859191230446,31.392127130000006,-0.5235949994368735,0.0668769716088328,0.3913452492944497,"{""type"":""Point"",""coordinates"":[77.79858830874797,13.000076694966053]}"
13,0.1370875,0.09913559467092685,32.696101760000005,-0.5954240457595422,0.21872111587261575,0.17577137076378346,"{""type"":""Point"",""coordinates"":[77.52612664686625,13.16933310886411]}"
14,0.1645875,0.16017630753851045,29.900161400000002,-0.5357479720807395,0.19020467836257318,0.23597009929711033,"{""type"":""Point"",""coordinates"":[77.55659119764091,12.808146256259647]}"
15,0.131,0.19495224654566934,32.67559364000002,-0.5442598561864618,0.121353979114152,0.3217768147345612,"{""type"":""Point"",""coordinates"":[77.75667330918569,12.853424010490452]}"
16,0.163275,0.24257054467047903,31.754437250000024,-0.4885112749812974,0.06711615078148943,0.3422996362032852,"{""type"":""Point"",""coordinates"":[77.64464277098752,13.143227427494026]}"
17,0.1431375,0.09713894363145904,31.76640032000003,-0.5836734693877551,0.21001231021748049,0.16877124817872755,"{""type"":""Point"",""coordinates"":[77.48530835620387,13.197919960328765]}"
18,0.1595375,0.12382503044317046,32.33208263,-0.5889490386410304,0.21817531305903395,0.19855199648968846,"{""type"":""Point"",""coordinates"":[77.47726034930162,12.832009936421965]}"
19,0.19832499999999997,0.19993976709945122,31.78349042000002,-0.34365574100140756,0.03645106250969446,0.23819015347817418,"{""type"":""Point"",""coordinates"":[77.54484392540384,12.889841917014175]}"
20,0.1582125,0.1624050853637271,32.627741360000016,-0.3877264757451782,0.06570915619389592,0.24512501495394184,"{""type"":""Point"",""coordinates"":[77.77726650057106,13.096335239179483]}"
21,0.157975,0.19091418059665682,30.735867290000016,-0.5414681575109382,0.18242840095465387,0.2783673469387755,"{""type"":""Point"",""coordinates"":[77.52391026523586,13.123376366240882]}"
22,0.11376249999999999,0.15812347545264027,30.235127360000007,-0.5190751445086705,0.1260846277450455,0.2914358081367738,"{""type"":""Point"",""coordinates"":[77.69919805887552,13.058592175704613]}"
23,0.11245000000000001,0.10731521463042928,33.348943580000025,-0.5332626557116352,0.2412831241283124,0.20088300220750555,"{""type"":""Point"",""coordinates"":[77.69193379952331,13.098771527322176]}"
24,0.1359125,0.09725261366399218,31.159701770000026,-0.5475240553860596,0.1819322459222083,0.1750772399588053,"{""type"":""Point"",""coordinates"":[77.48780283026043,13.186084697679982]}"
25,0.1174,0.21320601538639963,28.811522029999992,-0.4257892256949898,0.03891050583657591,0.356266149870801,"{""type"":""Point"",""coordinates"":[77.72282262390404,12.967702646494796]}"
26,0.18693749999999998,0.1190832715981275,31.357946930000026,-0.3642753772999794,0.08993310760591294,0.1589020927542329,"{""type"":""Point"",""coordinates"":[77.46586148299033,12.948579689075881]}"
27,0.1181625,0.1386311827386948,30.13771379000002,-0.5620059288537549,0.23003598871705086,0.24720340318260592,"{""type"":""Point"",""coordinates"":[77.61986262719111,12.800863381378383]}"
28,0.1649875,0.3665000158212828,32.41753313000004,-0.4996030395826245,-0.03692912812295139,0.4824533999791732,"{""type"":""Point"",""coordinates"":[77.67925593103465,13.122101309501133]}"
29,0.23249999999999998,0.11810674794442866,31.64847863,-0.24051770627359342,0.062264296159470545,0.12284582066169014,"{""type"":""Point"",""coordinates"":[77.65801959978235,13.102968211484587]}"
30,0.16021249999999998,0.14017872787804447,31.34256584000002,-0.5316183253049093,0.159528243327126,0.21543985637342902,"{""type"":""Point"",""coordinates"":[77.78103240191959,12.91991299114645]}"
31,0.174825,0.07505009641196267,29.626719800000046,-0.16649590163934425,0.012787723785166252,0.09821870361207326,"{""type"":""Point"",""coordinates"":[77.64556118598628,13.085946514393331]}"
32,0.21515,0.04820045872350694,30.11207864000002,-0.29949842727195447,0.18883185565406752,0.05663053388714411,"{""type"":""Point"",""coordinates"":[77.72426513933793,12.895126342080706]}"
33,0.15835000000000002,0.1100589749979234,23.61954965000001,-0.34238941135492856,0.15967903711133397,0.14484831921289967,"{""type"":""Point"",""coordinates"":[77.52219601296832,13.018845023171158]}"
34,0.1430125,0.22901369950096945,28.796140940000015,-0.481953867028494,-0.007090909090909016,0.351634943875061,"{""type"":""Point"",""coordinates"":[77.7281870933472,12.964473387865924]}"
35,0.17795,0.20360973729847773,26.615444179999997,-0.34522465567848276,0.002608329827513666,0.2721614080274737,"{""type"":""Point"",""coordinates"":[77.64745429477922,12.930961247391325]}"
36,0.10946249999999999,0.18505291253923803,31.06570622000004,-0.533458051518204,0.1496385802136153,0.33299509555217327,"{""type"":""Point"",""coordinates"":[77.46193372991924,13.075606409212854]}"
37,0.1426625,0.19227383863080683,31.845014780000014,-0.35647710387680676,0.05052829793911498,0.27651195499296766,"{""type"":""Point"",""coordinates"":[77.65200233633213,12.889666088556591]}"
38,0.1355875,0.04934894408578617,26.69918567000002,-0.27164612037708485,0.14884696016771493,0.0746071133167907,"{""type"":""Point"",""coordinates"":[77.58454974527098,12.968532745768881]}"
39,0.0886625,0.20020553788877685,28.717526480000004,-0.5510504976041283,0.0871980364294019,0.41291741651669667,"{""type"":""Point"",""coordinates"":[77.70590224317714,12.925067609944591]}"
40,0.206725,0.048282310457674345,32.67388463000003,-0.1992263056092844,0.031804733727810744,0.060670515547452605,"{""type"":""Point"",""coordinates"":[77.62485922935333,12.866875646920766]}"
41,0.14866249999999998,0.3239058444464333,32.66363057000004,-0.4736967388716973,0.025594301333554243,0.4443216697360343,"{""type"":""Point"",""coordinates"":[77.6300324281723,13.181307043345631]}"
42,0.129775,0.30806483494761827,30.412864400000046,-0.4750968456004428,0.027464585140213903,0.44688172043010765,"{""type"":""Point"",""coordinates"":[77.4952029939937,12.90375488824954]}"
43,0.1191,0.17396982736969005,32.40386104999999,-0.5715392561983472,0.1600419407110857,0.30858330858330857,"{""type"":""Point"",""coordinates"":[77.46940097708634,12.83253155647517]}"
44,0.15236249999999998,0.09235209235209235,29.780530700000014,-0.4926429914813586,0.16601849451214243,0.15292712066905617,"{""type"":""Point"",""coordinates"":[77.70513828031712,13.175075586386237]}"
45,0.1348875,0.3362531112387517,26.40181793000002,-0.563791874554526,-0.06590599455040874,0.5076478381307961,"{""type"":""Point"",""coordinates"":[77.47102837033803,12.86647389855248]}"
46,0.0607625,0.0628224117677103,28.31932715000002,0.07988380537400143,-0.06148148148148149,0.20724515585509692,"{""type"":""Point"",""coordinates"":[77.5344958859094,13.099314635269074]}"
47,0.15347500000000003,0.15735826013434168,31.80912557000002,-0.5389148547043284,0.18689757855967395,0.2402581879034186,"{""type"":""Point"",""coordinates"":[77.70076116886325,13.121789038367957]}"
48,0.18055,0.12898277414996623,34.242755810000034,-0.5111786800214632,0.1839966367713004,0.1867930296545399,"{""type"":""Point"",""coordinates"":[77.78385144320642,13.116929970963604]}"
49,0.1226375,0.282737829786475,28.196278430000007,-0.516868701621148,0.009918319719953312,0.45208214489446663,"{""type"":""Point"",""coordinates"":[77.51379366884774,12.889734019818475]}"
50,0.0874625,0.14675635110345212,29.62671979999999,-0.6278375149342891,0.25287356321839083,0.322213181448332,"{""type"":""Point"",""coordinates"":[77.6335245041104,12.812233397154355]}"
51,0.16781249999999998,0.07159516708725244,34.480308200000024,-0.25187878787878787,0.09546033092914719,0.09628486952050394,"{""type"":""Point"",""coordinates"":[77.50146421184365,13.00601496976545]}"
52,0.2220125,0.13048275420950795,30.394065290000015,-0.27828986075701123,0.015897755610972637,0.1484176064023281,"{""type"":""Point"",""coordinates"":[77.73383740363504,12.847360599059789]}"
53,0.11761250000000001,0.29574408511829764,27.54685463000004,-0.48564011033587545,-0.05695746214852201,0.49113629758791044,"{""type"":""Point"",""coordinates"":[77.5049616177938,12.831278641037896]}"
54,0.14625,0.45260275374929615,28.898681540000013,-0.5199907289373045,0.09391159299416182,0.48273508939538695,"{""type"":""Point"",""coordinates"":[77.52795235059762,13.054860367078772]}"
55,0.16047499999999998,0.16595086472166007,32.98492445000002,-0.45008756567425573,0.11759743546482197,0.23889612696908685,"{""type"":""Point"",""coordinates"":[77.65550936394762,13.094382359002404]}"
56,0.086925,0.2924834683257034,27.12643817,-0.4918447048012864,-0.11381004366812231,0.5781129156999227,"{""type"":""Point"",""coordinates"":[77.64118559973583,12.935392265587648]}"
57,0.1242875,0.14873190768027128,34.35384146000001,-0.5790469433605298,0.20686850429281511,0.2625521507696735,"{""type"":""Point"",""coordinates"":[77.5098284124624,13.105329059140727]}"
58,0.11988750000000001,0.17660956881275847,31.720257050000043,-0.5603293028042192,0.15810578575520337,0.3112267657992565,"{""type"":""Point"",""coordinates"":[77.60462313488388,13.193801975334104]}"
59,0.1400625,0.3230090116492051,28.982423030000007,-0.446344419011714,-0.02221008556344436,0.4578735557574971,"{""type"":""Point"",""coordinates"":[77.65172519151216,12.97773317405097]}"
60,0.18575,0.13663382684792774,32.424369170000006,-0.5331945022907123,0.2049754500818331,0.19551092734790307,"{""type"":""Point"",""coordinates"":[77.48312546195675,12.835257450668792]}"
61,0.17354999999999998,0.18505903723887374,31.491249710000034,-0.44245889921372406,0.10722683806239225,0.2505489679402723,"{""type"":""Point"",""coordinates"":[77.69252520942878,13.081199737184795]}"
62,0.1660875,0.1332705175910695,31.30838564000004,-0.49116270182478267,0.20394939833384756,0.19292567333256272,"{""type"":""Point"",""coordinates"":[77.71761707093937,13.035059308677106]}"
63,0.1430875,0.3199463210264467,29.568613460000023,-0.5567288801571709,0.013834466213514578,0.464260270719544,"{""type"":""Point"",""coordinates"":[77.4641849051729,13.193943492396466]}"
64,0.1001375,0.22830145977141564,28.606440830000025,-0.5710543549443353,0.08258122743682308,0.4239187532831378,"{""type"":""Point"",""coordinates"":[77.54217994116708,13.124917434293922]}"
65,0.10626250000000001,0.29939617577993966,29.392585430000025,-0.5339805825242719,0.014526315789473663,0.5225239876402668,"{""type"":""Point"",""coordinates"":[77.7632448438881,12.952545453370705]}"
66,0.1472,0.6011918364476946,29.17041413000004,-0.5603471657173854,-0.16599014207016527,0.7397793640493187,"{""type"":""Point"",""coordinates"":[77.53841142463945,13.165551322904262]}"
67,0.14955000000000002,0.22297801454128996,30.942657500000024,-0.41367177682834877,0.03343744258680873,0.32318913480885314,"{""type"":""Point"",""coordinates"":[77.45773773400933,13.003761583445518]}"
68,0.2060125,0.09083676769784549,32.59185215000002,-0.4349429912810194,0.1630877955966295,0.1275290671061064,"{""type"":""Point"",""coordinates"":[77.69882358768936,13.165465727453144]}"
69,0.161375,0.18585140844019166,32.67388463,-0.5238390092879256,0.1238298196209757,0.27599201950786967,"{""type"":""Point"",""coordinates"":[77.65689758531113,13.160530226969612]}"
70,0.124225,0.19844411552098035,30.281270629999995,-0.5607395458493609,0.15394495412844036,0.3334297281665703,"{""type"":""Point"",""coordinates"":[77.62848208528207,13.193443342024374]}"
71,0.058300000000000005,0.10206451313253292,31.262242370000024,-0.265525344075193,0.015898679601185635,0.3169852145690588,"{""type"":""Point"",""coordinates"":[77.64932376717609,12.870067796700758]}"
72,0.1367625,0.2300816914944738,29.52417920000002,-0.4349030470914128,0.06846085846184072,0.33765867418899853,"{""type"":""Point"",""coordinates"":[77.6564244452567,12.89458039818343]}"
73,0.11230000000000001,0.18634282301413502,29.409675530000015,-0.3845639826261276,0.04120603015075376,0.325,"{""type"":""Point"",""coordinates"":[77.5432040367831,12.868917340114924]}"
74,0.18265,0.05624957451153924,33.44635715000004,-0.22690496316869943,0.03652315853907366,0.07525902311283159,"{""type"":""Point"",""coordinates"":[77.4797195771298,12.91351781795442]}"
75,0.1713875,0.15144755106087643,32.33720966000004,-0.34375000000000006,0.06709208543826996,0.21085931209018746,"{""type"":""Point"",""coordinates"":[77.78855005746507,13.157805385222005]}"
76,0.2291125,0.0510108221854802,29.01831224000003,-0.11120289106866289,-0.0031493145609484607,0.05278506853309999,"{""type"":""Point"",""coordinates"":[77.66991457628353,12.986029969483207]}"
77,0.116025,0.32806366811912563,28.87133738000003,-0.573570898292502,0.0033134526176276232,0.5293434049970946,"{""type"":""Point"",""coordinates"":[77.77784385510539,12.813349784280756]}"
78,0.1025625,0.3864051363609589,29.684826140000013,-0.5436817472698907,-0.12239467849223948,0.6360698125404006,"{""type"":""Point"",""coordinates"":[77.61780551591033,12.963993962617213]}"
79,0.20600000000000002,0.09993864232192326,34.14876026000002,-0.32432687765706186,0.13221872223568368,0.1111800599855207,"{""type"":""Point"",""coordinates"":[77.63880077808325,13.109571257533709]}"
