feature,importance
ALBEDO,0.25927660570446337
latitude,0.1697063318223643
longitude,0.15826670573813317
EVI,0.13164694615529662
NDBI,0.1062917027983072
NDVI,0.09657463629133403
MNDWI,0.07823707149010128
